,neg,pos
alongand,1.0,
alongsid,3.0,9.0
aloof,5.0,2.0
alot,2.0,4.0
aloud,1.0,2.0
alpha,1.0,
alphabet,1.0,
alphonsia,,1.0
alpin,,1.0
alread,,1.0
alreadi,116.0,86.0
alreadybeauti,,1.0
alright,6.0,4.0
alsoran,2.0,
altar,6.0,3.0
altarboy,,1.0
alter,12.0,18.0
alterc,1.0,
alterego,1.0,3.0
alterior,1.0,
altern,27.0,27.0
although,203.0,348.0
altman,3.0,34.0
altmanesqu,2.0,
altogeth,18.0,12.0
altrock,1.0,
altruist,2.0,
alum,1.0,2.0
aluminium,1.0,
alumni,1.0,
alumnus,3.0,2.0
alvarado,,6.0
alway,145.0,242.0
alwaysbrok,1.0,
alwaysinterest,,1.0
alwayslik,1.0,
alwaysonthemov,,1.0
alwaysphenomen,,1.0
alwaysreli,,2.0
alwaysstrik,,1.0
alwayswoozi,1.0,
alyson,1.0,1.0
alzheim,2.0,1.0
alzhiem,1.0,
amadeus,1.0,4.0
amalgam,1.0,
amanda,27.0,7.0
amarcord,,7.0
amarillo,3.0,
amass,,2.0
amateur,9.0,1.0
amateurish,13.0,3.0
amateurishforeground,1.0,
amaz,59.0,107.0
amazin,,1.0
amazon,2.0,1.0
amazona,1.0,
ambassador,9.0,5.0
amber,1.0,4.0
amberlik,,1.0
ambienc,2.0,
ambient,,2.0
ambigu,9.0,18.0
ambit,8.0,16.0
ambiti,7.0,21.0
ambitionless,1.0,
ambival,,3.0
ambivla,1.0,
ambl,,2.0
amblyn,4.0,
amboy,1.0,
ambros,4.0,7.0
ambul,,4.0
ambulancechas,,1.0
ambush,3.0,1.0
amc,,1.0
ame,2.0,2.0
ameli,,1.0
amen,1.0,1.0
amend,3.0,4.0
amercian,,1.0
america,51.0,95.0
american,137.0,258.0
americanbeauti,1.0,
americanitalian,,1.0
americanpsycho,,1.0
americanreleas,,1.0
americanspanish,,1.0
amerocentr,,1.0
ami,28.0,34.0
amiabl,3.0,2.0
amic,2.0,
amid,2.0,3.0
amidala,3.0,12.0
amidst,10.0,13.0
amiel,2.0,
amigo,1.0,
amish,5.0,
amishmock,1.0,
amiss,2.0,1.0
amistad,1.0,27.0
amiti,,1.0
ammo,1.0,
ammunit,5.0,1.0
amnesia,4.0,4.0
amnesiac,,1.0
amo,,1.0
amoeba,1.0,
amok,1.0,1.0
amon,,2.0
amongst,5.0,13.0
amor,8.0,8.0
amount,54.0,71.0
amourlast,,1.0
ampbel,,1.0
amphetamin,1.0,2.0
amphetimen,1.0,
amphibi,,1.0
amphibian,,4.0
ampl,5.0,2.0
ampli,1.0,1.0
amplifi,,4.0
amplys,1.0,
amput,1.0,1.0
amrriag,1.0,
amsterdam,1.0,
amuck,1.0,
amulet,1.0,
amundsen,1.0,
amus,76.0,68.0
amyl,1.0,1.0
ana,4.0,
anabella,1.0,
anachron,,1.0
anaconda,37.0,2.0
anakin,9.0,21.0
anal,2.0,2.0
anale,,1.0
analect,1.0,
analog,3.0,4.0
analogu,,1.0
analys,,2.0
analysi,3.0,7.0
analyst,1.0,4.0
analyz,17.0,8.0
anand,,2.0
anarch,2.0,1.0
anarchi,,2.0
anarchist,,3.0
anastasia,5.0,14.0
anatom,1.0,
anatomi,3.0,3.0
ancestor,3.0,2.0
ancestri,,1.0
anchor,2.0,8.0
anci,1.0,
ancient,12.0,18.0
ancientsound,,1.0
andagainyou,1.0,
ander,5.0,
anderson,27.0,44.0
andi,11.0,30.0
andmiss,,1.0
andmost,,1.0
andoh,,1.0
andor,11.0,7.0
andr,1.0,3.0
andre,,1.0
andrea,3.0,18.0
andrew,26.0,20.0
androgin,1.0,
android,3.0,3.0
andromeda,,9.0
andrus,,1.0
andrzej,2.0,1.0
anecdot,1.0,8.0
aneeka,1.0,
anem,4.0,1.0
anett,,1.0
anew,,2.0
ang,,3.0
angel,82.0,75.0
angela,9.0,9.0
angelesla,1.0,
angelica,,1.0
angelicappear,,1.0
angelicin,1.0,
angelina,9.0,3.0
angelo,1.0,
angelou,,2.0
angelrel,,1.0
angelsstyl,1.0,
anger,4.0,33.0
angi,1.0,
angl,37.0,24.0
anglad,,2.0
anglo,1.0,
angri,22.0,49.0
angrier,1.0,
angrili,1.0,
angrybutinept,1.0,
angst,11.0,1.0
angstdom,1.0,
angstfil,,1.0
angsthorror,1.0,
angsti,5.0,
anguish,3.0,4.0
angular,1.0,1.0
angus,6.0,4.0
anh,,4.0
anij,1.0,
anim,119.0,202.0
animalhat,,1.0
animalist,1.0,
animallov,,1.0
animalmen,1.0,
animalright,1.0,
animalskin,1.0,
animatron,3.0,3.0
animos,1.0,3.0
animus,,1.0
aniston,9.0,4.0
anita,4.0,3.0
anjelica,1.0,3.0
ankh,1.0,
ankl,,1.0
ann,40.0,34.0
anna,2.0,31.0
annabel,2.0,
annabella,1.0,3.0
annabeth,2.0,1.0
annaud,1.0,1.0
annemari,1.0,
annett,7.0,15.0
anney,,6.0
anni,15.0,39.0
anniesh,1.0,
annihil,7.0,2.0
anniversari,7.0,6.0
annmargret,1.0,
annmoss,,1.0
announc,17.0,18.0
annoy,113.0,62.0
annual,,9.0
anomali,1.0,
anonym,7.0,11.0
anorex,1.0,
anoth,399.0,390.0
anothergreat,1.0,
anouk,,2.0
ansel,,2.0
answer,68.0,63.0
ant,7.0,25.0
antagon,4.0,1.0
antagonist,7.0,7.0
antagonistsasprotagonist,1.0,
antagonistunstopp,,1.0
anteat,1.0,
antenna,,2.0
antennaelik,,1.0
anthem,,1.0
anthesi,,1.0
anthologystyl,1.0,
anthoni,21.0,29.0
anthropolog,3.0,
anthropologist,9.0,2.0
anthropomorph,1.0,
anti,,1.0
antiaircraft,,1.0
antiauthor,,1.0
antic,19.0,11.0
antichrist,2.0,
anticip,13.0,20.0
anticlass,,1.0
anticlimact,13.0,4.0
anticlimat,2.0,1.0
anticlimax,,2.0
anticorpor,,1.0
antidot,7.0,2.0
antienvironmentalist,,1.0
antiestablish,1.0,
antifamili,,1.0
antifan,1.0,
antigay,1.0,
antiglori,1.0,
antigovern,1.0,1.0
antigrav,1.0,
antihero,4.0,4.0
antihyp,1.0,
antiintrud,,1.0
antimal,1.0,
antimilitari,,1.0
antimovi,,1.0
antin,1.0,
antipillpoppingcasualtantricsexcarchaseattemptedmurd,,1.0
antiqu,1.0,
antirich,,1.0
antisemit,,6.0
antisept,1.0,1.0
antisexu,1.0,
antishark,1.0,
antislaveri,,1.0
antisoci,2.0,3.0
antiterror,,1.0
antiterrorist,1.0,
antitheft,,2.0
antithesi,1.0,4.0
antivampir,,1.0
antiviol,,1.0
antivoyeurist,,1.0
antiwar,,7.0
antiwhit,,1.0
antler,1.0,
antoin,,2.0
anton,2.0,5.0
antoni,1.0,
antonia,,1.0
antonio,21.0,8.0
antonioni,1.0,
antsi,2.0,
antz,4.0,29.0
anvil,,1.0
anway,,1.0
anxieti,2.0,7.0
anxietyridden,,1.0
anxious,1.0,7.0
anya,,4.0
anybodi,19.0,13.0
anyhow,4.0,2.0
anymor,8.0,19.0
anyon,170.0,137.0
anyth,248.0,199.0
anytim,1.0,3.0
anytown,1.0,
anyway,95.0,45.0
anywayyep,,1.0
anywher,32.0,8.0
aoki,,2.0
aol,,1.0
ap,,1.0
apach,4.0,
apart,71.0,94.0
apathet,,1.0
apathi,,2.0
ape,79.0,46.0
apelik,1.0,
apeman,1.0,
apetrad,1.0,
apex,2.0,
aphrodit,1.0,2.0
aplenti,1.0,2.0
aplomb,2.0,3.0
apocalyps,4.0,9.0
apocalypt,4.0,2.0
apollo,9.0,8.0
apollonia,,1.0
apolog,7.0,7.0
apologet,,2.0
apon,1.0,
apoplect,,1.0
apostl,,14.0
appal,13.0,6.0
appar,135.0,81.0
apparatus,1.0,3.0
apparit,1.0,3.0
appeal,67.0,71.0
appealinglychirpi,,1.0
appear,256.0,216.0
appeas,,1.0
appel,1.0,1.0
append,,1.0
appendag,1.0,2.0
appet,2.0,2.0
appetit,1.0,5.0
appl,5.0,12.0
applaud,4.0,9.0
applaus,2.0,3.0
applecheek,1.0,
appleg,2.0,1.0
applesauc,1.0,
appli,14.0,12.0
applianc,1.0,3.0
applic,3.0,4.0
appoint,2.0,3.0
appreci,28.0,63.0
apprehend,3.0,2.0
apprehens,,5.0
apprentic,2.0,6.0
apprenticeship,,1.0
approach,55.0,96.0
appropri,39.0,50.0
appropriatelynam,1.0,
approv,2.0,3.0
approxim,9.0,4.0
aprhodit,,1.0
april,3.0,3.0
apt,11.0,20.0
aptitud,2.0,1.0
aptlytitl,1.0,
aquarium,2.0,5.0
aquart,1.0,
aquat,1.0,
aquina,1.0,
aquit,,1.0
ar,1.0,1.0
arab,7.0,6.0
arabamerican,,3.0
arabella,1.0,2.0
arabia,1.0,4.0
arabian,1.0,1.0
arabianthem,,1.0
arabspeak,,1.0
arachnid,,1.0
arachnidlik,,1.0
arachnidtyp,,1.0
araki,6.0,
aram,,1.0
arami,2.0,
arang,1.0,
arbit,1.0,
arbitrari,3.0,3.0
arbitrarili,,1.0
arbitrarilytitl,1.0,
arbogast,3.0,1.0
arbuthnot,,1.0
arc,14.0,6.0
arcad,1.0,1.0
arcadia,,1.0
arcan,,1.0
arcand,1.0,
arch,4.0,2.0
archaeolog,,2.0
archaic,,1.0
archbishop,,4.0
archenemi,,1.0
archeologist,1.0,
archeologistgraverobb,1.0,
archer,4.0,6.0
archeri,1.0,1.0
archetyp,3.0,3.0
archimed,,1.0
architect,5.0,4.0
architectur,,7.0
architecturallyunsound,,1.0
archiv,1.0,3.0
archriv,1.0,1.0
ard,1.0,
arden,,1.0
ardent,,3.0
arditi,,1.0
ardor,1.0,
arduous,2.0,1.0
area,28.0,28.0
aren,1.0,1.0
arena,6.0,5.0
arent,107.0,75.0
aretha,2.0,1.0
arezzo,,1.0
argentina,2.0,
argento,,27.0
argo,,1.0
argonautica,1.0,
argu,22.0,27.0
arguabl,8.0,11.0
arguement,1.0,
argument,8.0,23.0
ari,6.0,1.0
aria,,2.0
arian,,2.0
arianlook,,1.0
arid,1.0,1.0
ariel,,11.0
ariell,,1.0
arija,,2.0
aris,10.0,10.0
arisen,2.0,
aristo,,1.0
aristocraci,,5.0
aristocrat,3.0,5.0
arizona,8.0,6.0
arizonian,1.0,
ark,7.0,6.0
arkful,,1.0
arkin,12.0,2.0
arlen,2.0,3.0
arlington,1.0,1.0
arliss,2.0,2.0
arlo,2.0,3.0
arm,42.0,52.0
armada,,1.0
armageddon,25.0,13.0
armand,2.0,4.0
armando,,1.0
armani,1.0,
armi,41.0,81.0
armin,2.0,2.0
arminarm,1.0,1.0
armor,8.0,14.0
armour,,1.0
armpit,,2.0
armrest,1.0,
armsmerchantcumsafarihost,1.0,
armwrestl,,1.0
armynavyair,,1.0
arn,1.0,
arni,3.0,3.0
arnold,65.0,17.0
aroma,1.0,
aronofski,,3.0
aronov,,1.0
around,327.0,296.0
arous,3.0,5.0
aroway,,1.0
arquett,31.0,19.0
arraign,1.0,
arraki,11.0,
arrang,4.0,11.0
array,9.0,9.0
arrest,14.0,22.0
arrietti,,1.0
arris,,1.0
arriv,52.0,72.0
arrog,13.0,18.0
arrow,8.0,7.0
arroway,,2.0
arrrghhh,1.0,
arrrrrrrghhhh,1.0,
ars,1.0,2.0
arsenal,,4.0
arsenic,1.0,
arsenio,1.0,
arsine,,1.0
art,90.0,126.0
artemus,4.0,
arthous,5.0,2.0
arthriti,1.0,
arthur,9.0,8.0
arthurian,,3.0
arti,5.0,1.0
articl,4.0,7.0
articul,4.0,8.0
artif,1.0,
artifact,3.0,3.0
artific,,2.0
artifici,15.0,17.0
artilleri,1.0,
artimitateslif,,2.0
artisan,,2.0
artist,31.0,82.0
artistact,1.0,
artistdirector,1.0,
artistri,2.0,2.0
artistspeak,1.0,
artsi,1.0,5.0
artstyp,1.0,
artsyfartsi,1.0,
artwork,2.0,5.0
arupt,,1.0
ary,,1.0
aryan,,2.0
asbesto,1.0,2.0
asburi,,1.0
ascarid,,2.0
ascend,2.0,2.0
ascent,1.0,
ascet,,1.0
ascrib,,1.0
asexu,,2.0
ash,9.0,13.0
asham,4.0,3.0
ashau,,1.0
ashbi,,1.0
ashbrook,,2.0
ashley,12.0,14.0
ashman,,4.0
ashmor,,1.0
ashton,4.0,1.0
asia,1.0,4.0
asian,8.0,12.0
asianamerican,1.0,4.0
asid,41.0,44.0
asimov,3.0,
asinin,3.0,1.0
ask,138.0,140.0
askew,3.0,3.0
asleep,14.0,4.0
asner,2.0,
asof,1.0,
asp,,1.0
asparagus,,1.0
aspect,57.0,101.0
aspegren,,1.0
aspir,23.0,14.0
ass,45.0,16.0
assail,2.0,2.0
assant,4.0,
assasin,7.0,1.0
assassin,33.0,16.0
assassinextermin,,1.0
assassinop,1.0,
assault,19.0,17.0
asscrack,1.0,
assembl,14.0,17.0
assemblylin,1.0,
assent,1.0,
assert,2.0,5.0
assess,4.0,4.0
asset,13.0,4.0
asshol,1.0,2.0
assidu,,2.0
assign,24.0,23.0
assimil,3.0,1.0
assin,1.0,1.0
assist,32.0,45.0
assistantsist,1.0,
assists,1.0,
asskick,,3.0
associ,27.0,23.0
assort,6.0,10.0
asssss,,2.0
assuag,,1.0
assum,44.0,34.0
assumpt,6.0,2.0
assur,9.0,21.0
asswhol,1.0,
astair,,1.0
asteroid,5.0,3.0
asthma,2.0,
asthmat,,1.0
astin,,2.0
astonish,14.0,21.0
astor,,1.0
astound,7.0,20.0
astray,3.0,2.0
astrid,1.0,
astrolog,1.0,2.0
astronaut,30.0,18.0
astronom,1.0,6.0
astronomerwrit,,1.0
astronomi,,2.0
astut,1.0,3.0
aswel,5.0,3.0
asylum,1.0,6.0
atagl,1.0,
atcheson,1.0,
ateam,1.0,
atf,,2.0
atheism,,1.0
atheist,2.0,5.0
athena,1.0,
athlet,4.0,11.0
athleteactor,1.0,
athletic,1.0,
atho,3.0,
atkin,3.0,1.0
atkinson,4.0,2.0
atlant,2.0,6.0
atlanta,5.0,2.0
atlanti,,6.0
atm,2.0,
atmospher,37.0,70.0
atodd,,1.0
atol,1.0,
atom,6.0,10.0
atop,1.0,3.0
atreid,3.0,
atreus,,1.0
atric,1.0,
atroc,7.0,4.0
atroci,16.0,2.0
atroi,1.0,
atrophi,,2.0
att,5.0,
attach,13.0,8.0
attack,68.0,80.0
attain,4.0,7.0
attar,1.0,1.0
attatch,1.0,2.0
attempt,258.0,150.0
attenborough,1.0,3.0
attend,24.0,29.0
attende,,2.0
attent,62.0,96.0
attentiondeficitdisord,1.0,
attentiongett,1.0,
attentiongrab,,1.0
attenu,2.0,
attest,1.0,1.0
attic,4.0,2.0
attila,,1.0
attillalook,,1.0
attir,3.0,2.0
attitud,24.0,42.0
attorney,4.0,24.0
attract,77.0,69.0
attractionan,1.0,
attractivewors,1.0,
attribut,11.0,9.0
attun,1.0,1.0
atunaccount,1.0,
atwood,1.0,1.0
atyp,2.0,3.0
auberjonoi,,1.0
auction,4.0,2.0
audac,2.0,6.0
audaci,1.0,4.0
audaciousand,,1.0
audi,1.0,
audibl,5.0,
audienc,373.0,361.0
audiencefriend,,1.0
audiencein,,1.0
audienceunfriend,1.0,
audio,3.0,4.0
audiorecord,1.0,
audiotap,,1.0
audit,4.0,2.0
auditorium,1.0,
audr,,1.0
audrey,9.0,2.0
aughra,,1.0
augment,1.0,4.0
august,14.0,11.0
augustus,2.0,
aulon,,1.0
aumont,,1.0
aunjanu,,1.0
aunt,6.0,5.0
aura,,6.0
aural,,5.0
aurelien,,1.0
aurelius,,5.0
auriga,,1.0
auriol,,1.0
auror,1.0,
aurora,,1.0
auschwitz,,4.0
auspici,1.0,
aussi,1.0,1.0
austen,3.0,
austin,15.0,40.0
australia,6.0,9.0
australian,6.0,15.0
australianbelgian,,1.0
austrian,2.0,1.0
auteil,,1.0
auteuil,,1.0
auteur,5.0,5.0
authent,8.0,24.0
author,31.0,59.0
authorhick,1.0,
authorit,,1.0
authoritarian,1.0,2.0
authors,1.0,
authorship,,1.0
authorti,,1.0
autism,3.0,
autist,12.0,
auto,5.0,3.0
autoarous,,1.0
autobiograph,2.0,5.0
autobiographi,2.0,4.0
autocrat,,1.0
autograph,1.0,
autom,1.0,2.0
automat,11.0,15.0
automaticpilot,1.0,
