,neg,pos
acuiti,,1.0
acumen,,1.0
acupunctur,,1.0
acut,1.0,5.0
ad,77.0,63.0
adafarasin,,1.0
adag,1.0,3.0
adagio,1.0,
adair,,1.0
adam,51.0,33.0
adamson,,1.0
adandon,,1.0
adapt,44.0,74.0
aday,,1.0
add,96.0,103.0
addam,2.0,4.0
addendum,,1.0
addi,,3.0
addict,27.0,17.0
addin,1.0,
addit,47.0,57.0
addl,,1.0
address,8.0,19.0
ade,,2.0
adefarasin,,1.0
adel,2.0,
adelaid,,1.0
adept,6.0,7.0
adequ,21.0,13.0
adher,8.0,4.0
adhes,,1.0
aditi,,1.0
aditya,1.0,
adjac,1.0,
adjani,3.0,
adject,7.0,5.0
adjoin,,2.0
adjust,1.0,5.0
adlib,4.0,2.0
administ,1.0,1.0
administr,2.0,1.0
admir,31.0,52.0
admiss,5.0,5.0
admit,64.0,72.0
admitt,,3.0
admonit,,1.0
ado,4.0,
adolesc,13.0,6.0
adolescentmind,,1.0
adolf,1.0,
adolph,,1.0
adopt,11.0,20.0
ador,8.0,17.0
adorn,2.0,1.0
adrenalin,9.0,7.0
adrenalinetestosteron,1.0,
adrian,4.0,4.0
adriana,,1.0
adriann,,1.0
adrien,1.0,1.0
adrienmarc,1.0,
adrienn,,1.0
adrift,,2.0
adroit,1.0,5.0
adul,1.0,
adult,59.0,97.0
adulter,,1.0
adulteri,,3.0
adulthood,2.0,4.0
adultori,,1.0
adultr,1.0,
advanc,33.0,29.0
advantag,14.0,16.0
advent,,2.0
adventur,42.0,74.0
advers,,4.0
adversari,1.0,5.0
advertis,18.0,17.0
advic,22.0,18.0
advis,9.0,15.0
advisor,2.0,6.0
advoc,11.0,4.0
aerial,,2.0
aerosmith,3.0,1.0
aerospac,,1.0
aesthet,1.0,3.0
afa,,1.0
afar,2.0,2.0
afeminit,,1.0
afer,1.0,
affabl,3.0,8.0
affair,41.0,43.0
affairaweek,,1.0
affay,1.0,
affect,25.0,55.0
affection,3.0,8.0
affili,1.0,3.0
affin,1.0,3.0
affirm,,4.0
affleck,35.0,27.0
affleckdamon,,1.0
afflict,4.0,4.0
affluent,2.0,
afford,6.0,9.0
affraid,,1.0
affront,1.0,1.0
afi,1.0,1.0
aficionado,3.0,6.0
afield,1.0,1.0
aflail,1.0,
afloat,2.0,1.0
afoot,1.0,1.0
afor,1.0,
aforement,24.0,21.0
aforment,,1.0
afoul,2.0,
afr,1.0,
afraid,18.0,33.0
africa,13.0,15.0
african,16.0,33.0
africanamerican,8.0,10.0
aftereffect,,1.0
afterglow,,5.0
afterhour,1.0,
afterlif,,3.0
aftermath,2.0,3.0
afternoon,5.0,9.0
afterschool,1.0,
aftertast,,2.0
afterthought,7.0,4.0
afterward,10.0,19.0
afterword,1.0,
again,233.0,253.0
againexcept,1.0,
against,104.0,163.0
againthes,,1.0
agap,1.0,
agatha,,1.0
age,61.0,127.0
agenc,4.0,7.0
agenda,4.0,9.0
agent,72.0,74.0
agentassassin,1.0,
agentincharg,,1.0
agentpop,1.0,
ageold,,1.0
agetyp,,1.0
aggi,1.0,
aggrav,3.0,2.0
aggress,8.0,15.0
aggressivelli,1.0,
aggressivelymarket,,1.0
aggriev,,1.0
aggriv,,1.0
agil,3.0,2.0
agit,1.0,1.0
agn,,2.0
ago,71.0,72.0
agogo,,1.0
agon,1.0,1.0
agoni,,2.0
agonis,,1.0
agre,41.0,55.0
agreeabl,1.0,5.0
agreement,2.0,7.0
agricultur,,1.0
aguilar,,2.0
aguirresarob,,2.0
agutt,1.0,
ah,4.0,1.0
aha,1.0,1.0
ahab,,1.0
ahead,23.0,23.0
ahem,4.0,1.0
ahern,1.0,
ahh,1.0,
ahhh,1.0,
ahm,9.0,2.0
ahmad,,3.0
ahnold,1.0,
aid,19.0,39.0
aidan,2.0,2.0
aidsafflict,,1.0
aidscautionari,,1.0
aiello,5.0,
aikidovers,1.0,
ail,4.0,3.0
ailment,1.0,1.0
aim,30.0,24.0
aime,1.0,1.0
aimless,9.0,5.0
aint,17.0,11.0
aintisexi,,1.0
air,64.0,55.0
airbrush,,1.0
aircraft,2.0,5.0
airforceon,,1.0
airhead,4.0,1.0
airi,,2.0
airlin,3.0,7.0
airlock,1.0,
airplan,16.0,19.0
airplanestyl,1.0,
airplanetyp,,1.0
airplay,,1.0
airport,11.0,9.0
airtim,,1.0
airwav,,2.0
airwolf,2.0,
aisl,,5.0
aissa,1.0,
ajay,,1.0
aka,4.0,4.0
aki,,3.0
akiko,,1.0
akin,3.0,5.0
akira,,3.0
akiva,5.0,1.0
akroyd,2.0,
al,26.0,32.0
ala,26.0,13.0
alabama,,2.0
alacr,,1.0
aladdin,,7.0
alain,6.0,8.0
alakina,,1.0
alamo,,1.0
alan,27.0,35.0
alana,5.0,
alani,,3.0
alar,,1.0
alarm,8.0,4.0
alaska,4.0,
albani,,1.0
albania,,1.0
albanian,,2.0
albarn,,1.0
albeit,21.0,18.0
albert,8.0,21.0
alberta,,4.0
alberto,1.0,
albertson,2.0,2.0
albino,3.0,1.0
album,4.0,4.0
alc,,1.0
alchemi,,8.0
alcohol,28.0,10.0
alcoholbas,,1.0
alcott,7.0,1.0
alda,,11.0
alderaan,,1.0
aldi,3.0,
aldous,,1.0
alea,,2.0
alec,6.0,13.0
alejandro,,2.0
alek,,5.0
alert,5.0,2.0
alessa,12.0,
alessandro,2.0,1.0
alevey,1.0,
alex,23.0,26.0
alexand,7.0,15.0
alexandr,2.0,
alexandra,,3.0
alexi,1.0,
aleximall,,1.0
alfonso,1.0,1.0
alfr,15.0,12.0
alga,1.0,
algar,,2.0
alger,1.0,
algeria,,1.0
ali,7.0,22.0
alia,2.0,
alias,,1.0
alibi,,2.0
alic,10.0,23.0
alicia,25.0,2.0
alida,,1.0
alien,146.0,366.0
alienbust,1.0,
alienlik,,1.0
alienpossess,1.0,
alienstitan,1.0,
alight,1.0,
align,4.0,1.0
alik,2.0,8.0
alin,,1.0
alison,3.0,3.0
alist,5.0,1.0
aliv,42.0,48.0
allah,,1.0
allamerica,,1.0
allamerican,1.0,3.0
allan,2.0,1.0
alland,1.0,
allaround,2.0,3.0
allayah,2.0,
allbusi,1.0,
allday,,1.0
alleg,10.0,7.0
allegi,,2.0
allegor,1.0,1.0
allegori,4.0,4.0
allegra,,2.0
allen,50.0,63.0
allencompass,1.0,1.0
allerg,1.0,
allergi,1.0,
allergypron,1.0,
allevi,1.0,2.0
allexcept,,1.0
alley,6.0,9.0
alleyway,,1.0
allgirl,2.0,
allgrownup,,1.0
alli,8.0,9.0
allianc,3.0,7.0
allig,3.0,1.0
allimport,2.0,
allinal,,2.0
allison,3.0,9.0
alllllllllllrighti,1.0,
allmal,,1.0
allman,1.0,
allnight,1.0,
alloc,1.0,1.0
allofasuddensuperhuman,1.0,
allornoth,,1.0
allot,2.0,
allout,5.0,5.0
allow,76.0,124.0
allpow,,3.0
allpurpl,,1.0
allr,1.0,
allrooki,1.0,
allround,1.0,
allstar,4.0,2.0
allterrain,,1.0
alltim,4.0,9.0
alltogeth,,1.0
alltoo,3.0,
alltoobrief,3.0,
alltoor,,1.0
alltoorealist,,1.0
alltootru,,1.0
allud,3.0,1.0
allur,7.0,9.0
allus,4.0,3.0
allwhit,,1.0
allyson,1.0,
alma,6.0,1.0
almanac,,1.0
almasi,2.0,
almod,,3.0
almostasstun,1.0,
almostcameo,,1.0
almostforgotten,,1.0
almostwitti,2.0,
aloft,,3.0
alois,,11.0
alon,90.0,82.0
aloneuntil,,1.0
along,171.0,200.0
alongsid,3.0,7.0
aloof,3.0,2.0
alot,2.0,4.0
alotta,,1.0
aloud,1.0,1.0
alp,,1.0
alphabet,1.0,
alphonsia,,1.0
alpin,,1.0
alread,,1.0
alreadi,109.0,82.0
alreadychaot,,1.0
alright,7.0,3.0
alsoran,2.0,
altar,6.0,3.0
altarboy,,1.0
alter,9.0,18.0
alterc,1.0,1.0
alterego,2.0,2.0
altern,29.0,26.0
althea,,7.0
although,213.0,371.0
altitud,,1.0
altman,3.0,15.0
altmanesqu,1.0,
altogeth,14.0,13.0
altough,,1.0
altrock,1.0,
altruist,2.0,
alum,,1.0
aluminium,1.0,
alumni,1.0,1.0
alumnus,3.0,2.0
alvarado,,5.0
alvin,1.0,
alway,164.0,269.0
alwaysbrok,1.0,
alwaysgrisli,,1.0
alwaysinterest,,1.0
alwaysonthemov,,1.0
alwaysreli,,2.0
alwayswoozi,1.0,
alyson,1.0,1.0
alyssa,3.0,
alzheim,2.0,1.0
alzhiem,1.0,
amadala,,3.0
amadeus,1.0,4.0
amalgam,2.0,2.0
amanda,27.0,7.0
amarcord,,7.0
amarillo,3.0,
amass,,1.0
amateur,9.0,2.0
amateurish,10.0,3.0
amateurishforeground,1.0,
amaz,60.0,112.0
amazon,2.0,
amazona,1.0,
ambassador,10.0,3.0
amber,1.0,5.0
amberlik,,1.0
ambianc,,2.0
ambienc,2.0,
ambient,,1.0
ambigu,10.0,23.0
ambit,8.0,18.0
ambiti,6.0,26.0
ambitionless,1.0,
ambival,1.0,4.0
ambivla,1.0,
ambl,,1.0
amblyn,4.0,
amboy,1.0,
ambros,5.0,7.0
ambul,,2.0
ambulancechas,,2.0
ambush,4.0,
amc,1.0,1.0
ame,1.0,2.0
ameli,,1.0
amen,,1.0
amend,3.0,5.0
america,49.0,95.0
american,152.0,267.0
americana,1.0,
americanchines,,1.0
americanis,,1.0
americanitalian,,1.0
americanpsycho,,1.0
americanreleas,,1.0
americanspanish,,1.0
americasfunniesthomevideo,1.0,
amerocentr,,1.0
amfibium,,1.0
ami,31.0,33.0
amiabl,1.0,2.0
amic,1.0,
amid,3.0,6.0
amidala,3.0,11.0
amidst,7.0,9.0
amish,2.0,
amishmock,1.0,
amiss,1.0,
amistad,2.0,32.0
amiti,,1.0
ammunit,3.0,1.0
amnesia,4.0,7.0
amnesiac,,2.0
amo,,2.0
amoeba,1.0,
amok,2.0,
amon,,1.0
amongst,5.0,13.0
amor,9.0,8.0
amount,58.0,64.0
amour,1.0,
amourlast,,1.0
ampbel,,1.0
amphetamin,1.0,2.0
amphetimen,1.0,
amphibi,,1.0
amphibian,,3.0
amphibianbas,1.0,
ampl,3.0,3.0
ampli,1.0,
amplifi,1.0,3.0
amplys,1.0,
amput,2.0,1.0
amrriag,1.0,
amsterdam,1.0,
amulet,1.0,
amundsen,1.0,
amus,72.0,63.0
amyl,1.0,1.0
ana,4.0,
anabasi,,1.0
anabell,1.0,
anabella,1.0,
anachron,,1.0
anaconda,33.0,3.0
anakin,9.0,23.0
anal,4.0,2.0
anale,,1.0
analect,1.0,
analog,4.0,3.0
analogu,,1.0
analys,,3.0
analysi,3.0,5.0
analyst,1.0,5.0
analyt,,2.0
analyz,20.0,14.0
anamoli,1.0,
anarch,2.0,
anarchi,1.0,2.0
anarchist,,2.0
anastasia,6.0,16.0
anatom,3.0,
anatomi,2.0,6.0
ancestor,3.0,2.0
ancestri,,1.0
anchor,6.0,7.0
anchorcorrespond,,1.0
anchorman,1.0,
ancient,12.0,25.0
ancientsword,1.0,
andagainyou,1.0,
ander,2.0,
anderson,30.0,57.0
andi,14.0,32.0
andmiss,,1.0
andmost,,1.0
andoh,,1.0
andor,10.0,5.0
andr,3.0,3.0
andre,,1.0
andrea,3.0,9.0
andrei,,1.0
andrew,31.0,21.0
androgin,1.0,
android,3.0,4.0
androidwishingtobehuman,,1.0
andromeda,,4.0
andrus,,1.0
andrzej,1.0,1.0
andund,,1.0
anecdot,1.0,6.0
aneeka,1.0,
anem,3.0,1.0
anew,1.0,1.0
ang,,2.0
angel,58.0,93.0
angela,8.0,24.0
angelicappear,,1.0
angelina,9.0,3.0
angelo,1.0,
angelrel,,1.0
anger,3.0,32.0
angl,36.0,27.0
anglad,,1.0
anglican,,1.0
angri,25.0,42.0
angrier,1.0,
angrili,1.0,1.0
angrybutinept,1.0,
angst,11.0,3.0
angstdom,1.0,
angstfil,,1.0
angsthorror,1.0,
angsti,5.0,
angstridden,1.0,
anguish,2.0,7.0
angular,1.0,1.0
angus,6.0,2.0
anh,,4.0
anij,1.0,2.0
anim,144.0,241.0
animalhat,,1.0
animalist,1.0,
animallov,,1.0
animalmen,1.0,
animalskin,1.0,
animatron,5.0,1.0
animos,,3.0
animt,,1.0
animus,,1.0
aniston,9.0,4.0
anistonasloveinterest,1.0,
anita,3.0,3.0
anjelica,2.0,2.0
ankh,1.0,
ankl,,1.0
ann,44.0,31.0
anna,16.0,29.0
annabel,2.0,
annabella,,2.0
annabeth,2.0,
annaud,1.0,1.0
annemari,1.0,
annett,3.0,14.0
annex,,1.0
anni,13.0,40.0
annihil,4.0,2.0
anniversari,6.0,7.0
annmoss,,1.0
announc,18.0,19.0
annoy,118.0,60.0
annual,1.0,9.0
anomali,1.0,
anonym,5.0,11.0
anorex,1.0,
anoth,413.0,395.0
anothergreat,1.0,
anouk,,2.0
ansel,,2.0
anser,2.0,
answer,64.0,66.0
ant,3.0,26.0
antagon,4.0,1.0
antagonist,4.0,7.0
antagonistsasprotagonist,1.0,
antarct,,3.0
antarctica,,4.0
anteat,1.0,
antenna,,2.0
antennaelik,,1.0
anthem,,1.0
anthesi,,1.0
antholog,,1.0
anthoni,21.0,20.0
anthrax,,1.0
anthropolog,3.0,
anthropologist,6.0,2.0
anthropomorph,1.0,1.0
anthrozoologist,1.0,
anti,,2.0
antiapp,,1.0
antic,12.0,8.0
anticharm,,1.0
antichrist,1.0,1.0
anticip,20.0,23.0
anticlass,,1.0
anticlimact,14.0,5.0
anticlimat,2.0,
anticlimax,,1.0
anticorpor,,1.0
antidepress,1.0,
antidot,6.0,1.0
antiestablish,1.0,
antifamili,,1.0
antifan,1.0,
antifascist,,1.0
antigay,1.0,
antiglori,1.0,
antigovern,1.0,
antigrav,1.0,
antihero,3.0,5.0
antihyp,1.0,
antiintrud,,1.0
antimal,1.0,
antimovi,,1.0
antin,1.0,
antinuk,1.0,
antionio,1.0,
antipathet,1.0,
antiphantom,,1.0
antipillpoppingcasualtantricsexcarchaseattemptedmurd,,1.0
antiqu,1.0,1.0
antirich,,1.0
antisemit,1.0,5.0
antisept,,1.0
antisexu,1.0,
antishark,1.0,
antislaveri,,1.0
antisoci,,2.0
antiterrorist,1.0,
antithesi,1.0,4.0
antiviol,,1.0
antivoyeurist,,1.0
antiwar,,5.0
antler,1.0,
antoin,6.0,2.0
anton,2.0,6.0
antoni,1.0,
antonia,,1.0
antonio,13.0,10.0
antonioni,3.0,
antsi,2.0,
antwerp,2.0,1.0
antz,4.0,17.0
anvil,,1.0
anway,,1.0
anxieti,2.0,5.0
anxietyridden,,1.0
anxious,2.0,6.0
anya,,4.0
anybodi,19.0,11.0
anyhow,5.0,1.0
anymor,10.0,28.0
anyon,173.0,136.0
anyth,235.0,201.0
anytim,1.0,1.0
anytown,1.0,
anyway,88.0,42.0
anywayyep,,1.0
anywher,28.0,10.0
aoki,,2.0
aol,,1.0
ap,,2.0
apac,1.0,
apach,4.0,
apart,77.0,88.0
apathet,,1.0
apathi,,2.0
ape,73.0,51.0
apecreatur,1.0,
apelik,1.0,
aperitif,1.0,
apetrad,1.0,
apex,1.0,
apfelschnitt,1.0,
aphrodiasiat,1.0,
aphrodit,1.0,2.0
aplenti,1.0,2.0
aplomb,2.0,3.0
apocalyps,3.0,9.0
apocalypt,4.0,1.0
apollo,6.0,4.0
apollonia,,1.0
apolog,8.0,9.0
apologet,,1.0
apon,1.0,
apoplect,,1.0
apostl,,8.0
apothecari,,1.0
appal,12.0,6.0
appalachian,,1.0
appar,131.0,80.0
apparatus,,2.0
apparel,,1.0
apparit,2.0,3.0
apparitionlik,,1.0
appeal,69.0,77.0
appealinglychirpi,,1.0
appear,244.0,214.0
appeas,,2.0
appel,1.0,1.0
append,,1.0
appendag,1.0,2.0
apper,,1.0
appet,1.0,4.0
appetit,1.0,5.0
appl,8.0,14.0
applaud,4.0,6.0
applaus,2.0,3.0
applecheek,1.0,1.0
appleg,1.0,1.0
applesauc,1.0,
appli,13.0,8.0
applianc,,2.0
applic,3.0,6.0
appoint,2.0,3.0
appreci,30.0,60.0
apprehend,1.0,
apprehens,1.0,4.0
apprentic,2.0,9.0
apprenticeship,,1.0
appris,,1.0
approach,58.0,88.0
appropri,41.0,58.0
appropriatelynam,1.0,
approv,4.0,2.0
approxim,10.0,4.0
aprhodit,,1.0
apricot,,1.0
april,9.0,7.0
apropo,1.0,
apt,11.0,20.0
aptitud,1.0,2.0
aptlytitl,1.0,
aquamarin,,1.0
aquanet,1.0,
aquarium,2.0,4.0
aquart,1.0,
aquat,1.0,
aquir,,1.0
aquit,,1.0
ar,1.0,
arab,9.0,7.0
arabamerican,,1.0
arabella,1.0,2.0
arabia,1.0,3.0
arabian,1.0,1.0
arabianthem,,1.0
arachnid,,1.0
arachnidlik,,1.0
arachnidtyp,,1.0
araki,6.0,
aram,,1.0
arami,1.0,
arbitrari,3.0,2.0
arbitrarili,,1.0
arbitrarilytitl,1.0,
arbogast,3.0,1.0
arc,11.0,6.0
arcad,1.0,1.0
arcadia,1.0,
arcand,1.0,
arch,4.0,3.0
archaeolog,,2.0
archaic,,1.0
archbishop,,4.0
archenemi,1.0,1.0
archeologist,1.0,
archer,4.0,11.0
archeri,1.0,1.0
archetyp,5.0,7.0
archi,,1.0
archibald,,1.0
architect,3.0,4.0
architectur,,6.0
archiv,1.0,2.0
archnemesi,,1.0
archriv,1.0,1.0
arctic,,3.0
arden,,1.0
ardent,,4.0
arditi,,1.0
ardor,1.0,
ardour,1.0,
arduous,2.0,1.0
area,27.0,27.0
arecibo,,1.0
aren,1.0,1.0
arena,2.0,3.0
arent,115.0,79.0
aretha,1.0,1.0
arezzo,,1.0
argentina,,1.0
argentinian,,1.0
argento,,23.0
argo,4.0,1.0
argonautica,4.0,
argonian,1.0,
argu,20.0,23.0
arguabl,10.0,10.0
argument,10.0,18.0
ari,6.0,2.0
aria,,2.0
arianlook,,1.0
arid,1.0,1.0
ariel,,11.0
ariell,,1.0
arija,1.0,2.0
aris,11.0,15.0
arisen,1.0,
aristo,,1.0
aristocraci,,4.0
aristocrat,5.0,5.0
arizona,11.0,9.0
arizonian,1.0,
ark,8.0,3.0
arkansa,1.0,
arkful,,1.0
arkin,6.0,3.0
arlen,,3.0
arlington,1.0,1.0
arliss,3.0,1.0
arlo,,4.0
arm,40.0,53.0
armada,,2.0
armageddon,31.0,12.0
armand,5.0,4.0
armando,,1.0
armani,1.0,
armchair,1.0,
armi,36.0,62.0
armin,3.0,4.0
arminarm,,1.0
armmount,1.0,
armoir,1.0,
armor,6.0,12.0
armpit,,2.0
armrest,1.0,
armsmerchantcumsafarihost,1.0,
armstrong,,2.0
armwrestl,,1.0
arni,4.0,2.0
arnold,48.0,13.0
aronov,,1.0
around,331.0,296.0
arous,4.0,3.0
aroway,,1.0
arqua,1.0,
arquett,21.0,7.0
arraign,1.0,
arraki,11.0,
arrang,7.0,13.0
array,7.0,7.0
arrest,16.0,20.0
arrietti,,1.0
arris,,1.0
arriv,52.0,86.0
arrog,9.0,19.0
arrow,8.0,10.0
arroway,,10.0
arrrgh,,1.0
arrrghhh,1.0,
arrrrrrrghhhh,1.0,
ars,1.0,2.0
arsenal,,4.0
arsenic,1.0,
arsenio,1.0,
art,74.0,110.0
artemus,7.0,
arthous,4.0,2.0
arthriti,1.0,
arthur,12.0,8.0
arthurian,,3.0
arti,9.0,1.0
articl,10.0,9.0
articul,4.0,6.0
artif,1.0,
artifact,4.0,4.0
artific,,3.0
artifici,15.0,19.0
artillari,,1.0
artilleri,1.0,1.0
artimitateslif,,2.0
artist,33.0,96.0
artistact,1.0,
artistdirector,1.0,
artistri,2.0,1.0
artsi,2.0,9.0
artsier,,1.0
artwork,2.0,5.0
arupt,,1.0
ary,,1.0
aryan,,2.0
asbesto,1.0,1.0
asburi,,1.0
ascend,2.0,2.0
ascens,,1.0
ascent,1.0,
ascet,1.0,1.0
ascrib,,1.0
asexu,1.0,1.0
ash,5.0,15.0
asham,4.0,3.0
ashau,,1.0
ashbi,1.0,1.0
ashbrook,,2.0
ashle,,1.0
ashley,15.0,11.0
ashman,,4.0
ashmor,,1.0
ashor,1.0,
ashton,1.0,1.0
asia,2.0,
asian,8.0,12.0
asianamerican,1.0,4.0
asid,42.0,54.0
asimov,3.0,
asinin,3.0,
ask,151.0,153.0
askew,2.0,4.0
asleep,16.0,6.0
asner,1.0,
asof,1.0,
asp,,1.0
asparagus,,1.0
aspect,63.0,97.0
aspegren,,1.0
aspir,21.0,17.0
ass,36.0,16.0
assail,,3.0
assant,4.0,
assasin,7.0,2.0
assassin,34.0,16.0
assassinextermin,,1.0
assassinop,1.0,
assault,19.0,16.0
asscrack,1.0,
assembl,12.0,18.0
assemblag,1.0,1.0
assemblylin,1.0,
assent,1.0,
assert,5.0,5.0
assess,4.0,5.0
asset,12.0,2.0
asshol,2.0,3.0
assidu,,1.0
assign,23.0,24.0
assimil,4.0,
assin,1.0,
assist,34.0,43.0
assistantsist,1.0,
assists,1.0,
assit,,1.0
asskick,,3.0
assmap,,1.0
associ,24.0,22.0
assort,10.0,8.0
asssss,,1.0
assuag,,1.0
assum,35.0,27.0
assumpt,8.0,2.0
assur,13.0,25.0
asswhol,2.0,
astair,,1.0
asteroid,11.0,
asthma,2.0,
astin,,2.0
astonish,14.0,26.0
astor,,2.0
astound,5.0,18.0
astray,3.0,1.0
astronaut,31.0,20.0
astronom,1.0,8.0
astronomerwrit,,1.0
astronomi,,2.0
astrophysicist,3.0,
astut,1.0,3.0
asuma,,1.0
aswel,4.0,1.0
asylum,3.0,5.0
atagl,1.0,
atcheson,1.0,
ate,1.0,1.0
ateam,1.0,
atf,,2.0
atheism,,4.0
atheist,3.0,10.0
athena,1.0,
athlet,3.0,10.0
athletic,1.0,
atho,2.0,
atkin,,1.0
atkinson,4.0,1.0
atlant,3.0,12.0
atlanta,5.0,1.0
atlanti,,3.0
atm,2.0,
atmospher,39.0,58.0
atmostpher,,1.0
atodd,,1.0
atom,6.0,5.0
atop,3.0,4.0
atreid,3.0,
atreus,,1.0
atreveng,1.0,
atric,1.0,
atroc,5.0,5.0
atroci,13.0,2.0
atroi,1.0,
atrophi,,2.0
att,5.0,
attach,15.0,12.0
attack,67.0,88.0
attain,4.0,7.0
attar,1.0,1.0
attatch,1.0,2.0
attempt,265.0,155.0
attenborough,1.0,2.0
attend,27.0,29.0
attende,,2.0
attent,70.0,105.0
attentiondeficitdisord,1.0,
attentiongett,1.0,
attentiongrab,,1.0
attenu,3.0,
attest,1.0,1.0
attic,4.0,3.0
attillalook,,1.0
attir,3.0,5.0
attitud,28.0,50.0
attorney,4.0,18.0
attract,74.0,69.0
attractionan,1.0,
attractiveseem,,1.0
attribut,13.0,10.0
attun,1.0,1.0
atwood,1.0,2.0
atyp,2.0,4.0
auberjonoi,,1.0
auction,4.0,
audac,,7.0
audaci,1.0,4.0
audaciousand,,1.0
audi,1.0,
audibl,4.0,
audienc,356.0,365.0
audiencefriend,,1.0
audiencein,,1.0
audiencepleas,,2.0
audienceunfriend,1.0,
audio,6.0,5.0
audiorecord,1.0,
audiotap,,1.0
audit,1.0,4.0
auditorium,1.0,
audrey,7.0,2.0
aughra,,1.0
augment,1.0,1.0
august,12.0,10.0
augustus,2.0,
aukoukoula,,1.0
aulon,,1.0
aumont,,1.0
aunt,5.0,4.0
aunti,,1.0
aura,,6.0
aural,,4.0
aurelien,,1.0
aurelius,,1.0
auriga,,1.0
auror,1.0,
auschwitz,,3.0
auspici,1.0,
aussi,1.0,1.0
austen,2.0,1.0
auster,1.0,
